Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Projected Ownership
WR,Cooper Kupp (23542880),Cooper Kupp,23542880,CPT,18600,BUF@LAR 09/08/2022 08:20PM ET,LAR,22.1,1490%
QB,Josh Allen (23542881),Josh Allen,23542881,CPT,18000,BUF@LAR 09/08/2022 08:20PM ET,BUF,27.1,1970%
QB,Matthew Stafford (23542882),Matthew Stafford,23542882,CPT,16200,BUF@LAR 09/08/2022 08:20PM ET,LAR,19.6,840%
WR,Stefon Diggs (23542883),Stefon Diggs,23542883,CPT,13500,BUF@LAR 09/08/2022 08:20PM ET,BUF,19.2,1070%
WR,Cooper Kupp (23542940),Cooper Kupp,23542940,FLEX,12400,BUF@LAR 09/08/2022 08:20PM ET,LAR,22.1,6940%
QB,Josh Allen (23542941),Josh Allen,23542941,FLEX,12000,BUF@LAR 09/08/2022 08:20PM ET,BUF,27.1,8390%
RB,Cam Akers (23542884),Cam Akers,23542884,CPT,12000,BUF@LAR 09/08/2022 08:20PM ET,LAR,10.5,350%
QB,Matthew Stafford (23542942),Matthew Stafford,23542942,FLEX,10800,BUF@LAR 09/08/2022 08:20PM ET,LAR,19.6,4910%
WR,Gabe Davis (23542885),Gabe Davis,23542885,CPT,10800,BUF@LAR 09/08/2022 08:20PM ET,BUF,14.3,730%
RB,Devin Singletary (23542886),Devin Singletary,23542886,CPT,10500,BUF@LAR 09/08/2022 08:20PM ET,BUF,13,490%
TE,Dawson Knox (23542887),Dawson Knox,23542887,CPT,10200,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.4,300%
WR,Allen Robinson II (23542888),Allen Robinson II,23542888,CPT,9300,BUF@LAR 09/08/2022 08:20PM ET,LAR,14.6,800%
WR,Stefon Diggs (23542943),Stefon Diggs,23542943,FLEX,9000,BUF@LAR 09/08/2022 08:20PM ET,BUF,19.2,5340%
TE,Tyler Higbee (23542894),Tyler Higbee,23542894,CPT,8400,BUF@LAR 09/08/2022 08:20PM ET,LAR,10.6,320%
RB,Cam Akers (23542944),Cam Akers,23542944,FLEX,8000,BUF@LAR 09/08/2022 08:20PM ET,LAR,10.5,1930%
WR,Jamison Crowder (23542895),Jamison Crowder,23542895,CPT,7500,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.3,120%
RB,Darrell Henderson Jr. (23542896),Darrell Henderson Jr.,23542896,CPT,7200,BUF@LAR 09/08/2022 08:20PM ET,LAR,11.3,230%
WR,Gabe Davis (23542945),Gabe Davis,23542945,FLEX,7200,BUF@LAR 09/08/2022 08:20PM ET,BUF,14.3,3670%
RB,Devin Singletary (23542946),Devin Singletary,23542946,FLEX,7000,BUF@LAR 09/08/2022 08:20PM ET,BUF,13,2630%
TE,Dawson Knox (23542947),Dawson Knox,23542947,FLEX,6800,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.4,1870%
DST,Bills  (23542898),Bills,23542898,CPT,6300,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.4,100%
WR,Allen Robinson II (23542948),Allen Robinson II,23542948,FLEX,6200,BUF@LAR 09/08/2022 08:20PM ET,LAR,14.6,4010%
K,Tyler Bass (23542899),Tyler Bass,23542899,CPT,6000,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.1,150%
K,Matt Gay (23542900),Matt Gay,23542900,CPT,5700,BUF@LAR 09/08/2022 08:20PM ET,LAR,8.5,140%
TE,Tyler Higbee (23542954),Tyler Higbee,23542954,FLEX,5600,BUF@LAR 09/08/2022 08:20PM ET,LAR,10.6,2080%
DST,Rams  (23542901),Rams,23542901,CPT,5400,BUF@LAR 09/08/2022 08:20PM ET,LAR,4,70%
WR,Jamison Crowder (23542955),Jamison Crowder,23542955,FLEX,5000,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.3,860%
RB,Darrell Henderson Jr. (23542956),Darrell Henderson Jr.,23542956,FLEX,4800,BUF@LAR 09/08/2022 08:20PM ET,LAR,11.3,1890%
RB,Zack Moss (23542902),Zack Moss,23542902,CPT,4500,BUF@LAR 09/08/2022 08:20PM ET,BUF,3,20%
DST,Bills  (23542958),Bills,23542958,FLEX,4200,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.4,970%
RB,James Cook (23542903),James Cook,23542903,CPT,4200,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.6,130%
K,Tyler Bass (23542959),Tyler Bass,23542959,FLEX,4000,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.1,2490%
K,Matt Gay (23542960),Matt Gay,23542960,FLEX,3800,BUF@LAR 09/08/2022 08:20PM ET,LAR,8.5,2390%
DST,Rams  (23542961),Rams,23542961,FLEX,3600,BUF@LAR 09/08/2022 08:20PM ET,LAR,4,710%
WR,Isaiah McKenzie (23542905),Isaiah McKenzie,23542905,CPT,3600,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.5,540%
RB,Zack Moss (23542962),Zack Moss,23542962,FLEX,3000,BUF@LAR 09/08/2022 08:20PM ET,BUF,3,480%
RB,James Cook (23542963),James Cook,23542963,FLEX,2800,BUF@LAR 09/08/2022 08:20PM ET,BUF,5.6,1570%
WR,Ben Skowronek (23542907),Ben Skowronek,23542907,CPT,2700,BUF@LAR 09/08/2022 08:20PM ET,LAR,5.1,90%
WR,Isaiah McKenzie (23542965),Isaiah McKenzie,23542965,FLEX,2400,BUF@LAR 09/08/2022 08:20PM ET,BUF,9.5,3890%
RB,Kyren Williams (23542908),Kyren Williams,23542908,CPT,2100,BUF@LAR 09/08/2022 08:20PM ET,LAR,1.9,10%
WR,Ben Skowronek (23542967),Ben Skowronek,23542967,FLEX,1800,BUF@LAR 09/08/2022 08:20PM ET,LAR,5.1,1480%
WR,Tutu Atwell (23542910),Tutu Atwell,23542910,CPT,1500,BUF@LAR 09/08/2022 08:20PM ET,LAR,2.4,40%
RB,Kyren Williams (23542968),Kyren Williams,23542968,FLEX,1400,BUF@LAR 09/08/2022 08:20PM ET,LAR,1.9,370%
WR,Tutu Atwell (23542970),Tutu Atwell,23542970,FLEX,1000,BUF@LAR 09/08/2022 08:20PM ET,LAR,2.4,860%
TE,Tommy Sweeney (23542913),Tommy Sweeney,23542913,CPT,600,BUF@LAR 09/08/2022 08:20PM ET,BUF,0.7,0%
TE,Tommy Sweeney (23542973),Tommy Sweeney,23542973,FLEX,400,BUF@LAR 09/08/2022 08:20PM ET,BUF,0.7,0%
TE,Brycen Hopkins (23542914),Brycen Hopkins,23542914,CPT,300,BUF@LAR 09/08/2022 08:20PM ET,LAR,0.6,0%
WR,Jake Kumerow (23542917),Jake Kumerow,23542917,CPT,300,BUF@LAR 09/08/2022 08:20PM ET,BUF,0.3,0%
TE,Brycen Hopkins (23542974),Brycen Hopkins,23542974,FLEX,200,BUF@LAR 09/08/2022 08:20PM ET,LAR,0.6,0%
WR,Jake Kumerow (23542977),Jake Kumerow,23542977,FLEX,200,BUF@LAR 09/08/2022 08:20PM ET,BUF,0.3,0%
