Name,Team,Position,Salary,Projection,Ceiling,MVP Projection
Josh Allen,BUF,QB,17500,25.5,34.8,38.3
Matthew Stafford,LAR,QB,15500,18.3,25.4,27.5
Cooper Kupp,LAR,WR,16000,17.4,24.5,26.2
Stefon Diggs,BUF,WR,14000,15.2,22.3,22.7
Gabe Davis,BUF,WR,11500,11.6,17.9,17.3
Allen Robinson II,LAR,WR,12000,11.5,17,17.2
Devin Singletary,BUF,RB,10500,11.1,16.1,16.7
Darrell Henderson Jr.,LAR,RB,9000,9.8,14.3,14.7
Cam Akers,LAR,RB,12500,9.2,13.4,13.8
Tyler Bass,BUF,K,9500,9.1,13.4,13.6
Matt Gay,LAR,K,9000,8.5,13.3,12.8
Tyler Higbee,LAR,TE,8000,8.3,13,12.5
Dawson Knox,BUF,TE,10000,7.6,12.8,11.4
Isaiah McKenzie,BUF,WR,8500,7.5,12.4,11.3
Buffalo Bills,BUF,D,8500,5.4,9.6,8.1
James Cook,BUF,RB,7000,4.5,7.9,6.8
Jamison Crowder,BUF,WR,7500,4.3,8.5,6.4
Ben Skowronek,LAR,WR,6500,4.1,7.9,6.2
Los Angeles Rams,LAR,D,8000,4,7.7,6
Zack Moss,BUF,RB,7000,2.8,5.5,4.2
Tutu Atwell,LAR,WR,6500,2,5.2,3
Kyren Williams,LAR,RB,5000,1.8,3.8,2.6
Brycen Hopkins,LAR,TE,5000,0.5,3.4,0.8
Quintin Morris,BUF,TE,5000,0.3,3.6,0.4
Tommy Sweeney,BUF,TE,5000,0.3,3.6,0.4
Jake Kumerow,BUF,WR,5000,0.3,3.6,0.4
John Wolford,LAR,QB,10000,0,0,0
Case Keenum,BUF,QB,10000,0,0,0
Van Jefferson,LAR,WR,7500,0,0,0
Kendall Blanton,WAS,TE,6000,0,0,0
Duke Johnson,BUF,RB,6000,0,0,0
Tavon Austin,BUF,WR,5500,0,0,0
Khalil Shakir,BUF,WR,5500,0,0,0
Brandon Powell,LAR,WR,5500,0,0,0
Reggie Gilliam,BUF,TE,5000,0,0,0
Roger Carter Jr.,LAR,TE,5000,0,0,0
Matt Barkley,BUF,QB,5000,0,0,0
Trey Ragas,LAR,RB,5000,0,0,0
Raheem Blackshear,BUF,RB,5000,0,0,0
Marquez Stevenson,BUF,WR,5000,0,0,0
Jalen Wydermyer,NE,TE,5000,0,0,0
Jacob Harris,LAR,WR,5000,0,0,0
Lance McCutcheon,LAR,WR,5000,0,0,0
Xavier Jones,LAR,RB,5000,0,0,0
Austin Trammell,LAR,WR,5000,0,0,0
Taiwan Jones,BUF,RB,5000,0,0,0
Bryce Perkins,LAR,QB,5000,0,0,0
Jared Pinkney,LAR,WR,5000,0,0,0
Jake Funk,LAR,RB,5000,0,0,0
