"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Jalen Hurts","PHI","MIN","QB","8300","24.7","5.2","36.9","80481-69531","34.7"
"Josh Allen","BUF","TEN","QB","9000","26.0","4.3","40.6","80481-62239","36.2"
"Adam Thielen","MIN","PHI","WR","5900","11.4","1.7","47.3","80481-39716","17.5"
"Dalvin Cook","MIN","PHI","RB","8200","15.8","1.6","59.3","80481-54140","22.2"
"Stefon Diggs","BUF","TEN","WR","8100","15.5","1.5","48.3","80481-25079","24.9"
"Kirk Cousins","MIN","PHI","QB","7600","18.9","1.4","16.3","80481-22038","25.2"
"Justin Jefferson","MIN","PHI","WR","9200","17.4","1.2","52.9","80481-85671","28.1"
"Devin Singletary","BUF","TEN","RB","5600","9.7","0.6","47.4","80481-70603","15.3"
"A.J. Brown","PHI","MIN","WR","8000","14.4","0.6","40.1","80481-72846","24.2"
"Gabe Davis","BUF","TEN","WR","7000","11.9","0.0","34.8","80481-94534","20.0"
"Philadelphia Eagles","PHI","MIN","D","3600","5.2","0.0","31.5","80481-12545","9.3"
"Derrick Henry","TEN","BUF","RB","8800","15.4","-0.1","48.9","80481-39280","23.9"
"K.J. Osborn","MIN","PHI","WR","5200","8.1","-0.2","23.4","80481-63855","13.5"
"Miles Sanders","PHI","MIN","RB","7000","11.5","-0.3","41.9","80481-71845","18.1"
"DeVonta Smith","PHI","MIN","WR","5600","8.7","-0.4","32.4","80481-90576","16.1"
"Zack Moss","BUF","TEN","RB","5100","7.5","-0.6","25.1","80481-70027","12.3"
"Robert Woods","TEN","BUF","WR","5400","8.1","-0.6","29.1","80481-29685","12.4"
"Buffalo Bills","BUF","TEN","D","5000","7.3","-0.6","29.9","80481-12526","12.2"
"Dallas Goedert","PHI","MIN","TE","6200","9.4","-0.9","38.6","80481-83074","16.6"
"Tennessee Titans","TEN","BUF","D","3400","3.6","-1.1","29.7","80481-12534","7.1"
"Ryan Tannehill","TEN","BUF","QB","7100","14.6","-1.4","6.2","80481-21948","21.1"
"Dawson Knox","BUF","TEN","TE","5500","7.2","-1.7","33.9","80481-64585","13.1"
"Kyle Philips","TEN","BUF","WR","5300","6.8","-1.7","10.8","80481-91902","12.4"
"Minnesota Vikings","MIN","PHI","D","4300","4.8","-1.8","8.8","80481-12540","8.7"
"Isaiah McKenzie","BUF","TEN","WR","5400","6.6","-2.1","24.6","80481-53639","12.3"
"Kenneth Gainwell","PHI","MIN","RB","5400","6.5","-2.2","9.0","80481-90912","12.8"
"Treylon Burks","TEN","BUF","WR","5500","6.4","-2.5","7.3","80481-110259","10.5"
"Austin Hooper","TEN","BUF","TE","4800","4.9","-2.6","14.2","80481-40126","8.6"
"Nick Westbrook-Ikhine","TEN","BUF","WR","5000","4.9","-3.0","2.1","80481-64389","9.7"
"Jamison Crowder","BUF","TEN","WR","5000","4.6","-3.3","4.2","80481-24755","8.9"
"Geoff Swaim","TEN","BUF","TE","4600","3.7","-3.4","4.2","80481-38523","6.0"
"Irv Smith Jr.","MIN","PHI","TE","5000","4.4","-3.5","14.3","80481-72725","8.5"
"Johnny Mundt","MIN","PHI","TE","4700","3.5","-3.8","1.0","80481-40371","7.4"
"Quez Watkins","PHI","MIN","WR","4800","3.7","-3.8","0.6","80481-73687","10.5"
"Alexander Mattison","MIN","PHI","RB","5200","4.0","-4.3","2.5","80481-72776","7.4"
"Boston Scott","PHI","MIN","RB","5000","2.8","-5.1","1.9","80481-43433","6.6"
"Hassan Haskins","TEN","BUF","RB","4600","2.0","-5.1","0.0","80481-91361","4.1"
"Tommy Sweeney","BUF","TEN","TE","4100","0.5","-5.6","0.0","80481-56212","3.5"
"C.J. Ham","MIN","PHI","RB","4500","1.2","-5.7","0.0","80481-70501","4.1"
"Jack Stoll","PHI","MIN","TE","4100","0.4","-5.7","0.0","80481-69451","2.8"
"Trenton Cannon","TEN","BUF","RB","4500","1.0","-5.9","0.0","80481-83091","2.8"
"Chig Okonkwo","TEN","BUF","TE","4300","0.6","-5.9","0.0","80481-88297","2.0"
"James Cook","BUF","TEN","RB","4700","1.3","-6.1","0.0","80481-91626","3.9"
"Ben Ellefson","MIN","PHI","TE","4200","0.2","-6.1","0.0","80481-130286","2.5"
"Zach Pascal","PHI","MIN","WR","4900","1.3","-6.5","0.0","80481-53390","5.2"
"Jake Kumerow","BUF","TEN","WR","4500","0.3","-6.6","0.0","80481-27671","2.9"
"Julius Chestnut","TEN","BUF","RB","4500","0.2","-6.7","0.0","80481-170184","1.5"
"Jalen Reagor","MIN","PHI","WR","4600","0.1","-7.0","0.0","80481-94625","2.3"
